"","x"
"Certificate of Exchange of Ratification of Convention as",7.66045610870209e-18
"Debt be-",7.66045610870209e-18
"Charles de Castell",0.0399597511340727
"Secretary of State Jones",5.36231927609147e-17
"John C. Calhoun",0.0484199790297018
"the Secretary of State of Texas Allen",7.66045610870209e-18
"the Secretary of State of Texas Jones",1.53209122174042e-17
"Chas. H. Raymond",0.138271602758329
"Correspondent at Vera Cruz",0.0224186241993417
"Correspondent in Tampico",7.66045610870209e-18
"T. Toby",7.66045610870209e-18
"Count Mol6",0.0392024995718521
"D. Parker",0.007791638314465
"D. Rowlett",0.00373995687080934
"David G. Bumet",0.0139721987680483
"DaAdd G. Burnet",0.011558913241489
"Richard G. Dunlap",3.06418244348084e-17
"David S. Kaufman",0.0665995275287356
"James Buchanan",0.0129978449122766
"Declaration of Wyse as",7.66045610870209e-18
"goods shipped on Santa Maria",7.66045610870209e-18
"Duff Green",0.0484199790297017
"E. A. Rhodes",0.0630908110296651
"E. W. Moore",0.0423067497902109
"Joaquin Rivas Sayas",0.00444690086223548
"Muabeau B. Lamar",7.66045610870209e-18
"PedrffLemus",7.66045610870209e-18
"William D. Lee",0.0665995275287356
"Eddy and Moss",7.66045610870209e-18
"the collector of the customs at New Orleans",7.66045610870209e-18
"Fran. Pizarro Martinez",3.06418244348084e-17
"G . W. TerreU",0.0348020377349268
"G. Loomis",7.66045610870209e-18
"W. W. S. Bliss",7.66045610870209e-18
"G. W. Hill",7.66045610870209e-18
"Adrian Woll",7.66045610870209e-18
"Lord Clarendon",7.66045610870209e-18
"Gabriel Shaw",0.145847410951608
"Geo. Fisher",0.138271602758329
"Geo. L. Hammeken",0.0684268119324554
"Geo. W. Hockley",0.0317083602526998
"H. S. Fox",0.0497744037468645
"James H. Starr",1.53209122174042e-17
"Henry J. Jewett",0.0389433977215098
"Holford &amp; Co. to Ashbel Smith",7.66045610870209e-18
" undated 1159",7.66045610870209e-18
"Ird Palmerston",0.0392024995718521
"Ignacio de Mora",0.0186524081855909
"Information given by Henry J. Jewett",7.66045610870209e-18
"Instructions",7.66045610870209e-18
"Peraza",7.66045610870209e-18
"William S. Archer",7.66045610870209e-18
"J. C. Spencer",0.0425646924151518
"J. H. Brower",0.0425646924151518
"J. M. Porter",7.66045610870209e-18
"H. S. Legar",7.66045610870209e-18
"Lizardi &lt;k Co.",7.66045610870209e-18
"Lord Palmerston",0.121048064688842
"R. A. Irion",0.0400022250693778
"Secretary of State",7.66045610870209e-18
"Secretary of State Bee",7.66045610870209e-18
"Secretary of State Burnet",7.66045610870209e-18
"Secretary of State Irion",7.66045610870209e-18
"J. R. Poinsett",0.0497744037468645
"J. Y. Mason",0.00863640943787695
"Jacob Barker",0.0215335053605398
"Jacob Snively",1.53209122174042e-17
"Geo. W. HUl",7.66045610870209e-18
"Jamee HamUton",0.0223933200174553
"Wm. Sevey",0.0389433977215098
"Lords of the Treasury",7.66045610870209e-18
"Monroe Edwards",7.66045610870209e-18
"R. Copeland",7.66045610870209e-18
"Samuel A. Roberts",0.185982930781443
"Senior Officer of British Navy",7.66045610870209e-18
"Thos. Gales Forster",0.0389433977215098
"James Ritchie",7.66045610870209e-18
"Juan de Dios CaAedo",7.66045610870209e-18
"Juan de Dios Cafiedo",7.66045610870209e-18
"Juan Nepomuceno Almonte",7.66045610870209e-18
"Mirabeau B. Imar",7.66045610870209e-18
"Admiral Baudin",7.66045610870209e-18
"Jas. Ogilvy",0.0223933200174553
"Jesse Benton",0.138271602758329
"Joaquin G. Rej6n",0.00300069099024045
"President of Texas",1.53209122174042e-17
"Secretary of State Waples",7.66045610870209e-18
"John Crawford",0.0320711613701249
"John D. Morris",0.00916135533600507
"John Emberson",7.66045610870209e-18
"Albert Sidney Johnston",7.66045610870209e-18
"John Hall",0.0280201191671979
"John Taylor",0.0320711613701249
"Joseph C. Eldredge",0.00863640943787695
"Joseph Waples",0.109676336293424
"Joseph W. Robertson",0.138271602758329
"Juan de Dies Cafiedo",0.0223933200174553
"Juan N. Leplicher",0.0187425954475933
"Juan Vitalba",0.0320711613701249
"Lewis Cass",0.0392024995718521
"List of negro subjects of Great Britain alleged",7.66045610870209e-18
"be held in slavery in Texas",7.66045610870209e-18
"lx)rd Aberdeen",0.145847410951608
"M. E. Hale",0.0388757112065657
"Ashbel Smithy undated i 1442",7.66045610870209e-18
"M.S. CucuUu",7.66045610870209e-18
"John C. Spencer",7.66045610870209e-18
"Mariano Arista",0.00379402572475924
"Van Ness and Morris",0.00431948242240216
"Martin F. Peraza",0.00916135533600508
"Memorandum communicated by Treat",7.66045610870209e-18
"Mexican Government",7.66045610870209e-18
"Memorandum concerning War Steamers",7.66045610870209e-18
"be used against Texas",7.66045610870209e-18
"Memorandum relative",7.66045610870209e-18
"Saligny s investments in Texan bonds 1368",7.66045610870209e-18
"Miguel Barbachano",0.0320711613701249
"Governor of Yucatan",7.66045610870209e-18
"Lord Russell",7.66045610870209e-18
"Pedro Lemus",0.00453761701664752
"Secretary of State Rej6n",7.66045610870209e-18
"Percy W. Doyle",0.0521828707082197
"Petition of Joseph Cooper",7.66045610870209e-18
"the Texan minister",7.66045610870209e-18
"Propositions of Texas",7.66045610870209e-18
"Mexico",7.66045610870209e-18
"Agent of Lloyds",7.66045610870209e-18
"R. J. Walker",7.66045610870209e-18
"Hiram G. Runnels",7.66045610870209e-18
"R. Jones",0.0203918740160932
"the Secretary of War of the United States",7.66045610870209e-18
"W. Davenport and G. Loomis",7.66045610870209e-18
"R. Sieveking",0.0515531694934128
"Reply of the King of France",7.66045610870209e-18
"Terrells address",1.53209122174042e-17
"Reuben M. Potter",0.168382568967899
"A. B. Roman",7.66045610870209e-18
"Cooke and others",7.66045610870209e-18
"Rafael Uribe",1.53209122174042e-17
"Wm. G. Cooke",7.66045610870209e-18
"George K. Teulon",7.66045610870209e-18
"Sebastian Canacho",0.0223933200174553
"T. Dunlap",0.00555053228231762
"T. Hartley Crawford",2.29813683261063e-17
"Andrew J. Donelson",7.66045610870209e-18
"Wm. Armstrong",7.66045610870209e-18
"the King of France",7.66045610870209e-18
"Carrasco",7.66045610870209e-18
"W. L. Marcy",0.00846022789562907
"William Armstrong",7.66045610870209e-18
"T. H. Crawford",7.66045610870209e-18
"William M. Williams",0.0224186241993417
"William Scurlock",0.0224186241993417
"Williams",7.66045610870209e-18
" Thurston",7.66045610870209e-18
"Baron Roenne",7.66045610870209e-18
"Count d Alviella",7.66045610870209e-18
"Senator Gildmeister",7.66045610870209e-18
"V. Rumpff",7.66045610870209e-18
"Wm. Wilkins",0.007791638314465
"General R. Jones",7.66045610870209e-18
