"","x"
"Admiral Baudin",0.0179888857946876
"Jas. Ogilvy",0
"Jesse Benton",0
"Joaquin G. Rej6n",0
"President of Texas",0.0201628611760587
"Secretary of State Waples",0.000411319542418703
"John Crawford",0
"John D. Morris",0
"John Emberson",0
"Albert Sidney Johnston",0
"John Hall",0
"John Taylor",0
"Joseph C. Eldredge",0
"Joseph Waples",0.0197515416336399
"Joseph W. Robertson",0
"Juan de Dies Cafiedo",0
"Juan N. Leplicher",0
"Juan Vitalba",0
"Lewis Cass",0
"List of negro subjects of Great Britain alleged",0
"be held in slavery in Texas",0
"lx)rd Aberdeen",0
"M. E. Hale",0
"Ashbel Smithy undated i 1442",0.0451102735263328
"M.S. CucuUu",0
"John C. Spencer",0
"Mariano Arista",0.00293866410897236
"Van Ness and Morris",0.0260136652409828
"Martin F. Peraza",0.0254935993861152
"Memorandum communicated by Treat",0
"Mexican Government",0
"Memorandum concerning War Steamers",0
"be used against Texas",0
"Memorandum relative",0
"Saligny s investments in Texan bonds 1368",0
"Miguel Barbachano",0
"Governor of Yucatan",0.00234657130793198
"Lord Russell",0.00234657130793198
"Pedro Lemus",0
"Secretary of State Rej6n",0.000621993587820001
"Percy W. Doyle",0
"Petition of Joseph Cooper",0
"the Texan minister",0
"Propositions of Texas",0
"Mexico",0
"Agent of Lloyds",0.00548330266754614
"R. J. Walker",0
"Hiram G. Runnels",0
"R. Jones",0
"the Secretary of War of the United States",0.00279521494103846
"W. Davenport and G. Loomis",0.00279521494103846
"R. Sieveking",0.067652447748798
"Reply of the King of France",0
"Terrells address",0
"Reuben M. Potter",0
"A. B. Roman",0.0800147801038283
"Cooke and others",0.0254935993861153
"Rafael Uribe",0.0260856921871557
"Wm. G. Cooke",0.0254935993861153
"George K. Teulon",0
"Sebastian Canacho",0
"T. Dunlap",0
"T. Hartley Crawford",0
"Andrew J. Donelson",0
"Wm. Armstrong",0
"the King of France",0
"Carrasco",0.000592092801040386
"W. L. Marcy",0
"William Armstrong",0
"T. H. Crawford",0
"William M. Williams",0
"William Scurlock",0
"Williams",0
" Thurston",0
"Baron Roenne",0.0676524477487981
"Count d Alviella",0.0676524477487981
"Senator Gildmeister",0.0676524477487981
"V. Rumpff",0.0676524477487981
"Wm. Wilkins",0
"General R. Jones",0
